Rpt Rec Num,Prvdr Num Chr,Provider Name,City,State Abbrev,Clean Provider Group,Clean Provider Model Class,Revenue Source Method,Net Patient Revenue Model,Outpatient Exposure Used,Outpatient Repricing Pressure,Uncompensated Care Offset,Stabilization Support,Net Provider Impact,Net Provider Impact Pct of Npr,Stabilization Tier,Stabilization Basis,Large Negative Impact Flag,Severe Negative Impact Flag,Permanent Rural Access Eligible Flag,Pediatric Transition Eligible Flag,Case F Temporary Support,Case F Permanent Rural Access Support,Case F Total Added Support,Case F Net Impact,Case F Net Impact Pct Npr
822191,214018,SPRINGGROVE HOSPITAL CENTER,CATONSVILLE,MD,General acute / academic,Large hospital misclassified as CAH,nonstandard_g200000_l04300_fallback,138311542,13831154.2,-1383115.42,$0,$0,-1383115.42,-0.01,Tier 0 - not eligible,none,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$1,383,115",-0.01
823449,214002,EASTERN SHORE HOSPITAL CENTER,CAMBRIDGE,MD,Specialty / behavioral / rehab,Non-CAH specialty/other in CAH bucket,nonstandard_g200000_l04300_fallback,32628554,3262855.4,-326285.54,$0,$0,-326285.54,-0.01,Tier 0 - not eligible,none,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$326,286",-0.01
824086,222006,LEMUEL SHATTUCK HOSPITAL,JAMAICA PLAIN,MA,General acute / academic,Large hospital misclassified as CAH,nonstandard_g200000_l04300_fallback,114503780,11450378,-1145037.8,$0,$0,-1145037.8,-0.01,Tier 0 - not eligible,none,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$1,145,038",-0.01
824087,224001,TAUNTON STATE HOSPITAL,TAUNTON,MA,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,36930898,3693089.8,-369308.98,$0,$0,-369308.98,-0.01,Tier 0 - not eligible,none,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$369,309",-0.01
824118,304000,NEW HAMPSHIRE HOSPITAL,CONCORD,NH,General acute / academic,Large hospital misclassified as CAH,nonstandard_g200000_l04300_fallback,105614074,10561407.4,-1056140.74,$0,$0,-1056140.74,-0.01,Tier 0 - not eligible,none,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$1,056,141",-0.01
824163,394026,TORRANCE STATE,TORRANCE,PA,General acute / academic,Large hospital misclassified as CAH,nonstandard_g200000_l04300_fallback,118835719,11883571.9,-1188357.19,$0,$0,-1188357.19,-0.01,Tier 0 - not eligible,none,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$1,188,357",-0.01
824343,344004,CENTRAL REGIONAL HOSPITAL,BUTNER,NC,General acute / academic,Large hospital misclassified as CAH,nonstandard_g200000_l04300_fallback,259530066,25953006.6,-2595300.66,$0,$0,-2595300.66,-0.01,Tier 0 - not eligible,none,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$2,595,301",-0.01
824789,224031,CAPE COD AND ISLANDS MENTAL HEALTH C,POCASSET,MA,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,9222597,922259.7,-92225.97,$0,$0,-92225.97,-0.01,Tier 0 - not eligible,none,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$92,226",-0.01
824941,114029,EAST CENTRAL REGIONAL HOSPITAL,AUGUSTA,GA,General acute / academic,Large hospital misclassified as CAH,nonstandard_g200000_l04300_fallback,122300758,12230075.8,-1223007.58,$0,$0,-1223007.58,-0.01,Tier 0 - not eligible,none,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$1,223,008",-0.01
825199,222003,TEWKSBURY HOSPITAL,TEWKSBURY,MA,General acute / academic,Large hospital misclassified as CAH,nonstandard_g200000_l04300_fallback,101937342,10193734.2,-1019373.42,$0,$0,-1019373.42,-0.01,Tier 0 - not eligible,none,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$1,019,373",-0.01
825285,394016,WARREN STATE HOSPITAL,WARREN,PA,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,66263978,6626397.8,-662639.78,$0,$0,-662639.78,-0.01,Tier 0 - not eligible,none,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$662,640",-0.01
825407,254010,MSH- RECEIVING UNITS,WHITFIELD,MS,Specialty / behavioral / rehab,Non-CAH specialty/other in CAH bucket,nonstandard_g200000_l04300_fallback,9853920,985392,-98539.2,$0,$0,-98539.2,-0.01,Tier 0 - not eligible,none,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$98,539",-0.01
825637,364007,TWIN VALLEY RPH - COLUMBUS CAMPUS,COLUMBUS,OH,General acute / academic,Large hospital misclassified as CAH,nonstandard_g200000_l04300_fallback,78306090,7830609,-783060.9,$0,$0,-783060.9,-0.01,Tier 0 - not eligible,none,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$783,061",-0.01
825639,364014,NORTHWEST - TOLEDO RPH,TOLEDO,OH,General acute / academic,Large hospital misclassified as CAH,nonstandard_g200000_l04300_fallback,33983537,3398353.7,-339835.37,$0,$0,-339835.37,-0.01,Tier 0 - not eligible,none,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$339,835",-0.01
825641,364031,HEARTLAND RPH,MASSILLON,OH,General acute / academic,Large hospital misclassified as CAH,nonstandard_g200000_l04300_fallback,40790399,4079039.9,-407903.99,$0,$0,-407903.99,-0.01,Tier 0 - not eligible,none,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$407,904",-0.01
825642,364035,SUMMIT RPH,CINCINNATI,OH,General acute / academic,Large hospital misclassified as CAH,nonstandard_g200000_l04300_fallback,64352939,6435293.9,-643529.39,$0,$0,-643529.39,-0.01,Tier 0 - not eligible,none,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$643,529",-0.01
825657,394014,WERNERSVILLE STATE HOSPITAL,WERNERSVILLE,PA,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,88056772,8805677.2,-880567.72,$0,$0,-880567.72,-0.01,Tier 0 - not eligible,none,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$880,568",-0.01
825767,144037,ELGIN MENTAL HEALTH CENTER,ELGIN,IL,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,91230572,9123057.2,-912305.72,$0,$0,-912305.72,-0.01,Tier 0 - not eligible,none,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$912,306",-0.01
825768,144038,CHOATE MENTAL HEALTH CENTER,ANNA,IL,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,57942631,5794263.1,-579426.31,$0,$0,-579426.31,-0.01,Tier 0 - not eligible,none,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$579,426",-0.01
826330,194008,EAST LA STATE MENTAL HEALTH SYSTEM,JACKSON,LA,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,199676804,19967680.4,-1996768.04,$0,$0,-1996768.04,-0.01,Tier 0 - not eligible,none,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$1,996,768",-0.01
826388,394012,CLARKS SUMMIT STATE HOSPITAL,CLARKS SUMMIT,PA,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,60008271,6000827.1,-600082.71,$0,$0,-600082.71,-0.01,Tier 0 - not eligible,none,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$600,083",-0.01
826649,222023,WESTERN MASSACHUSETTS HOSPITAL,WESTFIELD,MA,Specialty / behavioral / rehab,Non-CAH specialty/other in CAH bucket,nonstandard_g200000_l04300_fallback,36498229,3649822.9,-364982.29,$0,$0,-364982.29,-0.01,Tier 0 - not eligible,none,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$364,982",-0.01
827857,144021,PACKARD MENTAL HEALTH CENTER,SPRINGFIELD,IL,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,35458401,3545840.1,-354584.01,$0,$0,-354584.01,-0.01,Tier 0 - not eligible,none,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$354,584",-0.01
827858,144028,JOHN J MADDEN MENTAL HEALTH CENTER,HINES,IL,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,30410276,3041027.6,-304102.76,$0,$0,-304102.76,-0.01,Tier 0 - not eligible,none,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$304,103",-0.01
827863,224040,DR. SOLOMON CARTER FULLER MENTAL HL,BOSTON,MA,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,28099070,2809907,-280990.7,$0,$0,-280990.7,-0.01,Tier 0 - not eligible,none,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$280,991",-0.01
827941,224032,WORCESTER RECOVERY CENTER AND HOSP,WORCESTER,MA,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,129055924,12905592.4,-1290559.24,$0,$0,-1290559.24,-0.01,Tier 0 - not eligible,none,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$1,290,559",-0.01
827992,244011,ANNANDALE BEHAVIORAL HEALTH HSP,ST. PAUL,MN,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,9708041,970804.1,-97080.41,$0,$0,-97080.41,-0.01,Tier 0 - not eligible,none,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$97,080",-0.01
828023,114019,GEORGIA REGIONAL HOSPITAL AT ATLANTA,DECATUR,GA,General acute / academic,Large hospital misclassified as CAH,nonstandard_g200000_l04300_fallback,108946295,10894629.5,-1089462.95,$0,$0,-1089462.95,-0.01,Tier 0 - not eligible,none,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$1,089,463",-0.01
828024,114028,GA REGIONAL HOSPITAL AT SAVANNAH,SAVANNAH,GA,General acute / academic,Large hospital misclassified as CAH,nonstandard_g200000_l04300_fallback,61017913,6101791.3,-610179.13,$0,$0,-610179.13,-0.01,Tier 0 - not eligible,none,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$610,179",-0.01
828033,194025,CENTRAL LA. STATE HOSPITAL,PINEVILLE,LA,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,49554770,4955477,-495547.7,$0,$0,-495547.7,-0.01,Tier 0 - not eligible,none,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$495,548",-0.01
828036,224028,CORRIGAN MENTAL HEALTH CENTER,FALL RIVER,MA,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,12179372,1217937.2,-121793.72,$0,$0,-121793.72,-0.01,Tier 0 - not eligible,none,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$121,794",-0.01
828059,444008,WESTERN MENTAL HLTH INSTIT.,BOLIVAR,TN,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,52387172,5238717.2,-523871.72,$0,$0,-523871.72,-0.01,Tier 0 - not eligible,none,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$523,872",-0.01
828092,204004,DOROTHEA DIX PSYCHIATRIC CENTER,BANGOR,ME,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,41130859,4113085.9,-411308.59,$0,$0,-411308.59,-0.01,Tier 0 - not eligible,none,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$411,309",-0.01
