rpt_rec_num,revenue_source_method,revenue_use_for_model_flag,standard_revenue_use_for_model_flag,rural_fallback_use_for_model_flag,children_total_only_fallback_use_for_model_flag,nonstandard_fallback_use_for_model_flag,rural_fallback_available_flag,children_total_only_fallback_available_flag,nonstandard_fallback_candidate_flag,nonstandard_fallback_failed_plausibility_flag,fallback_crosscheck_ratio,fallback_crosscheck_plausible_flag,rural_fallback_net_to_gross_ratio,rural_fallback_net_to_gross_plausible_flag,children_total_only_net_to_gross_ratio,children_total_only_net_to_gross_plausible_flag,nonstandard_fallback_net_to_gross_ratio,nonstandard_fallback_net_to_gross_plausible_flag,gross_inpatient_patient_revenue,gross_outpatient_patient_revenue,gross_total_patient_revenue,gross_revenue_sum_check,gross_total_minus_inpatient_outpatient,net_patient_revenue,net_to_gross_ratio,outpatient_gross_share,inpatient_gross_share,net_outpatient_exposure_base,net_outpatient_exposure_low,net_outpatient_exposure_high,standard_gross_inpatient_patient_revenue,standard_gross_outpatient_patient_revenue,standard_gross_total_patient_revenue,standard_net_patient_revenue,standard_net_to_gross_ratio,standard_outpatient_gross_share,standard_inpatient_gross_share,standard_net_outpatient_exposure_base,fallback_g200000_l04300_c002,fallback_g300000_l00400_c001,fallback_g200000_l02900_c002,fallback_total_revenue,rural_fallback_net_patient_revenue_proxy,rural_fallback_outpatient_share_low,rural_fallback_outpatient_share_base,rural_fallback_outpatient_share_high,rural_fallback_net_outpatient_exposure_low,rural_fallback_net_outpatient_exposure_base,rural_fallback_net_outpatient_exposure_high,children_fallback_g200000_l02800_c003,children_fallback_g200000_l02800_c001,children_fallback_g300000_l00100_c001,children_fallback_g300000_l00300_c001,children_fallback_total_revenue,children_fallback_net_patient_revenue,children_fallback_outpatient_share_low,children_fallback_outpatient_share_base,children_fallback_outpatient_share_high,children_fallback_net_outpatient_exposure_low,children_fallback_net_outpatient_exposure_base,children_fallback_net_outpatient_exposure_high,nonstandard_fallback_net_patient_revenue_proxy,nonstandard_fallback_outpatient_share_low,nonstandard_fallback_outpatient_share_base,nonstandard_fallback_outpatient_share_high,nonstandard_fallback_net_outpatient_exposure_low,nonstandard_fallback_net_outpatient_exposure_base,nonstandard_fallback_net_outpatient_exposure_high,g3_line_00400_c001,g3_line_00500_c001,g3_line_00600_c001,g3_line_00700_c001,g2_revenue_complete_flag,g3_net_patient_revenue_complete_flag,net_to_gross_plausible_flag,gross_sum_check_plausible_flag
824953,standard_g2_l028_split,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,0.980996400820103,FALSE,0.493188307190151,FALSE,0.980996400820103,FALSE,9207668,65089649,74297317,74297317,0,36642568,0.493188307190151,0.876069979754451,0.123930020245549,32101453.8059111,32101453.8059111,32101453.8059111,9207668,65089649,74297317,36642568,0.493188307190151,0.876069979754451,0.123930020245549,32101453.8059111,37352398,37352398,37352398,37352398,36642568,0.2,0.3,0.4,,,,74297317,9207668,74297317,36642568,74297317,36642568,0.3,0.45,0.6,,,,36642568,0.05,0.1,0.15,,,,37352398,-709830,,,TRUE,TRUE,TRUE,TRUE
824958,standard_g2_l028_split,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,1.2081220712997,FALSE,0.510697558784318,FALSE,1.2081220712997,FALSE,4580549,33430226,38010775,38010775,0,19412010,0.510697558784318,0.879493406803729,0.120506593196271,17072734.807808,17072734.807808,17072734.807808,4580549,33430226,38010775,19412010,0.510697558784318,0.879493406803729,0.120506593196271,17072734.807808,16067921,16067921,16067921,16067921,19412010,0.2,0.3,0.4,,,,38010775,4580549,38010775,19412010,38010775,19412010,0.3,0.45,0.6,,,,19412010,0.05,0.1,0.15,,,,16067921,3344089,15833,16727,TRUE,TRUE,TRUE,TRUE
824978,standard_g2_l028_split,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,1.00116514106626,FALSE,0.322046527920162,FALSE,1.00116514106626,FALSE,1553893077,1488728203,3042621280,3042621280,0,979865619,0.322046527920162,0.489291326786487,0.510708673213513,479439748.792973,479439748.792973,479439748.792973,1553893077,1488728203,3042621280,979865619,0.322046527920162,0.489291326786487,0.510708673213513,479439748.792973,978725266,978725266,978725266,978725266,979865619,0.2,0.3,0.4,,,,3042621280,1553893077,3042621280,979865619,3042621280,979865619,0.3,0.45,0.6,,,,979865619,0.05,0.1,0.15,,,,978725266,1140353,,4303621,TRUE,TRUE,TRUE,TRUE
824979,standard_g2_l028_split,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,0.93066521092006,FALSE,0.32308240821773,FALSE,0.93066521092006,FALSE,980986646,1263255580,2244242226,2244242226,0,725075183,0.32308240821773,0.562887359200771,0.437112640799229,408135654.980886,408135654.980886,408135654.980886,980986646,1263255580,2244242226,725075183,0.32308240821773,0.562887359200771,0.437112640799229,408135654.980886,779093464,779093464,809379957,779093464,725075183,0.2,0.3,0.4,,,,2244242226,980986646,2244242226,725075183,2244242226,725075183,0.3,0.45,0.6,,,,725075183,0.05,0.1,0.15,,,,779093464,-54018281,,,TRUE,TRUE,TRUE,TRUE
824980,standard_g2_l028_split,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,1.20275708594621,FALSE,0.257272565955228,FALSE,1.20275708594621,FALSE,130166081,816470779,946636860,946636860,0,243543694,0.257272565955228,0.862496289231755,0.137503710768245,210055532.340794,210055532.340794,210055532.340794,130166081,816470779,946636860,243543694,0.257272565955228,0.862496289231755,0.137503710768245,210055532.340794,202487848,202487848,202487848,202487848,243543694,0.2,0.3,0.4,,,,946636860,130166081,946636860,243543694,946636860,243543694,0.3,0.45,0.6,,,,243543694,0.05,0.1,0.15,,,,202487848,41055846,41750,,TRUE,TRUE,TRUE,TRUE
824982,standard_g2_l028_split,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,0.993416864260744,FALSE,0.285704186827377,FALSE,0.993416864260744,FALSE,1928941308,2177154777,4106096085,4106096085,0,1173128843,0.285704186827377,0.530224995209775,0.469775004790225,622022235.160124,622022235.160124,622022235.160124,1928941308,2177154777,4106096085,1173128843,0.285704186827377,0.530224995209775,0.469775004790225,622022235.160124,1180902887,1180902887,1180902887,1180902887,1173128843,0.2,0.3,0.4,,,,4106096085,1928941308,4106096085,1173128843,4106096085,1173128843,0.3,0.45,0.6,,,,1173128843,0.05,0.1,0.15,,,,1180902887,-7774044,4030768,124459206,TRUE,TRUE,TRUE,TRUE
824988,standard_g2_l028_split,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,1.0857387639521,FALSE,0.341337678389888,FALSE,1.0857387639521,FALSE,53527351,166377420,219904771,219904771,0,75061784,0.341337678389888,0.756588496208661,0.243411503791339,56790882.2792994,56790882.2792994,56790882.2792994,53527351,166377420,219904771,75061784,0.341337678389888,0.756588496208661,0.243411503791339,56790882.2792994,69134295,69134295,69134295,69134295,75061784,0.2,0.3,0.4,,,,219904771,53527351,219904771,75061784,219904771,75061784,0.3,0.45,0.6,,,,75061784,0.05,0.1,0.15,,,,69134295,5927489,,,TRUE,TRUE,TRUE,TRUE
825029,standard_g2_l028_split,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,0.964589108619473,FALSE,0.521100883560575,FALSE,0.964589108619473,FALSE,2031812,8911071,10942883,10942883,0,5702346,0.521100883560575,0.814325712885718,0.185674287114282,4643566.97157102,4643566.97157102,4643566.97157102,2031812,8911071,10942883,5702346,0.521100883560575,0.814325712885718,0.185674287114282,4643566.97157102,5911684,5911684,5911684,5911684,5702346,0.2,0.3,0.4,,,,10942883,2031812,10942883,5702346,10942883,5702346,0.3,0.45,0.6,,,,5702346,0.05,0.1,0.15,,,,5911684,-209338,,-626,TRUE,TRUE,TRUE,TRUE
825051,standard_g2_l028_split,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,1.07924230534079,FALSE,0.231187578617989,FALSE,1.07924230534079,FALSE,684423007,818191113,1502614120,1502614120,0,347385720,0.231187578617989,0.544511795882765,0.455488204117235,189155622.261227,189155622.261227,189155622.261227,684423007,818191113,1502614120,347385720,0.231187578617989,0.544511795882765,0.455488204117235,189155622.261227,321879265,321879265,321879265,321879265,347385720,0.2,0.3,0.4,,,,1502614120,684423007,1502614120,347385720,1502614120,347385720,0.3,0.45,0.6,,,,347385720,0.05,0.1,0.15,,,,321879265,25506455,,,TRUE,TRUE,TRUE,TRUE
825054,standard_g2_l028_split,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,1.01269207633629,FALSE,0.184306125517051,FALSE,1.01269207633629,FALSE,2032325939,918154559,2950480498,2950480498,0,543791629,0.184306125517051,0.31118814702296,0.68881185297704,169221509.395107,169221509.395107,169221509.395107,2032325939,918154559,2950480498,543791629,0.184306125517051,0.31118814702296,0.68881185297704,169221509.395107,536976285,536976285,536976285,536976285,543791629,0.2,0.3,0.4,,,,2950480498,2032325939,2950480498,543791629,2950480498,543791629,0.3,0.45,0.6,,,,543791629,0.05,0.1,0.15,,,,536976285,6815344,,,TRUE,TRUE,TRUE,TRUE
