provider_model_class,wksht_cd,line_num_chr,clmn_num_chr,n_rows,n_reports,nonzero_reports,min_value,p25_value,median_value,mean_value,p75_value,max_value,total_value
Critical access hospital,G100000,01300,00100,19,19,19,-19553198,104684,6936669,44733513.6315789,53455553.5,223109256,849936759
Critical access hospital,G100000,01300,00300,5,5,5,19894,51191,63991,4955437.2,7167742,17474368,24777186
Critical access hospital,G100000,01300,00500,2,2,2,-25946094,-19207054.75,-12468015.5,-12468015.5,-5728976.25,1010063,-24936031
Critical access hospital,G100000,01300,00700,2,2,2,-100375461,-29247955,41879551,41879551,113007057,184134563,83759102
Critical access hospital,G100000,01400,00100,14,14,14,86,66813.5,121348,106232610.214286,1732998.5,1244381866,1487256543
Critical access hospital,G100000,01400,00300,2,2,2,33488,980245,1927002,1927002,2873759,3820516,3854004
Critical access hospital,G100000,01400,00500,1,1,1,-11978919,-11978919,-11978919,-11978919,-11978919,-11978919,-11978919
Critical access hospital,G100000,01400,00700,3,3,3,-466599514,-233046744.5,506025,-155161092,558119,610213,-465483276
Critical access hospital,G100000,01500,00100,9,9,9,1504,4880680,26592827,252288756.444444,236019680,1571105357,2270598808
Critical access hospital,G100000,01500,00300,2,2,2,340352,27708603,55076854,55076854,82445105,109813356,110153708
Critical access hospital,G100000,01500,00500,1,1,1,60279,60279,60279,60279,60279,60279,60279
Critical access hospital,G100000,01500,00700,2,2,2,90305,2316081,4541857,4541857,6767633,8993409,9083714
Critical access hospital,G100000,01600,00100,4,4,4,1088027,1421016.5,19276976.5,20601451,38457411,42763824,82405804
Critical access hospital,G100000,01700,00100,2,2,2,113299,1764016.75,3414734.5,3414734.5,5065452.25,6716170,6829469
Critical access hospital,G100000,01700,00700,2,2,2,90305,146839,203373,203373,259907,316441,406746
Critical access hospital,G100000,01800,00200,47,47,47,-22573907,163415,6156745,254303948.510638,60810527,8566073860,11952285580
Critical access hospital,G100000,01800,00400,11,11,11,811,52286.5,280999,267902605.272727,28394858,2217523419,2946928658
Critical access hospital,G100000,01800,00600,6,6,6,-37925013,-60344.5,24416.5,-6147717.66666667,57411,1010063,-36886306
Critical access hospital,G100000,01800,00800,5,5,5,-174488542,-1055605,180610,54035492,610213,444930784,270177460
Critical access hospital,G100000,01900,00200,230,230,230,-1831140373,-86662953.25,-21531785,30874987.4043478,19230178.75,10399566693,7101247103
Critical access hospital,G100000,01900,00400,13,13,13,-9554760,2889,46104,89743385.2307692,14353117,905852073,1166664008
Critical access hospital,G100000,01900,00600,9,9,9,20332,181467,2627896,342064871.111111,136370920,2001335938,3078583840
Critical access hospital,G100000,01900,00800,9,9,9,-2863895,7244269,347257808,949476125.666667,529034312,5118184882,8545285131
Critical access hospital,G200000,00100,00100,142,142,142,232412,8863488.5,36459279.5,230968160.774648,152386209.25,3951080043,32797478830
Critical access hospital,G200000,00100,00300,142,142,142,232412,8863488.5,36459279.5,230968160.774648,152386209.25,3951080043,32797478830
Critical access hospital,G200000,00200,00100,27,27,27,248678,6299338.5,28213241,64745170.9259259,77768926.5,476790480,1748119615
Critical access hospital,G200000,00200,00300,27,27,27,248678,6299338.5,28213241,64745170.9259259,77768926.5,476790480,1748119615
Critical access hospital,G200000,00300,00100,15,15,15,4989695,15677134,27388350,34197059.8666667,40293589,101500022,512955898
