rpt_rec_num,prvdr_num_chr,provider_name,city,state_abbrev,raw_provider_model_class,clean_provider_model_class,clean_provider_group,revenue_source_method,revenue_use_for_model_flag,operating_revenue_candidate,operating_income_candidate,operating_margin_candidate,diagnostic_margin_stress_tier,diagnostic_margin_note,stabilization_tier,stabilization_basis,annual_transition_support_cap_model
828152,334015,ROCKLAND P.C.,ORANGEBURG,NY,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,nonstandard_g200000_l04300_fallback,TRUE,153379826,-153379826,-1,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
828153,334043,SOUTH BEACH P.C.,STATEN ISLAND,NY,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,nonstandard_g200000_l04300_fallback,TRUE,99265477,-99265477,-1,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
828179,074003,CONNECTICUT VALLEY HOSPITAL,MIDDLETOWN,CT,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,nonstandard_g200000_l04300_fallback,TRUE,144038968,-144038968,-1,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
828209,334001,HUTCHINGS P.C.,SYRACUSE,NY,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,nonstandard_g200000_l04300_fallback,TRUE,56310535,-56310535,-1,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
828210,334004,CREEDMOOR P.C.,QUEENS VILLAGE,NY,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,nonstandard_g200000_l04300_fallback,TRUE,129197842,-129197842,-1,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
828211,334046,CAPITAL DISTRICT P.C.,ALBANY,NY,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,nonstandard_g200000_l04300_fallback,TRUE,61092950,-61092950,-1,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
828341,334012,GREATER BINGHAMTON H.C.,BINGHAMTON,NY,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,nonstandard_g200000_l04300_fallback,TRUE,45128160,-45128160,-1,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
828344,364011,NORTHCOAST RPH,NORTHFIELD,OH,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,nonstandard_g200000_l04300_fallback,TRUE,69673700,-69673700,-1,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
828404,334052,BUFFALO P.C.,BUFFALO,NY,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,nonstandard_g200000_l04300_fallback,TRUE,71029742,-71029742,-1,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
828405,334063,KINGSBORO P.C.,BROOKLYN,NY,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,nonstandard_g200000_l04300_fallback,TRUE,70868422,-70868422,-1,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
