rpt_rec_num,prvdr_num_chr,provider_name,city,state_abbrev,raw_provider_model_class,clean_provider_model_class,clean_provider_group,revenue_source_method,gross_total_patient_revenue_model,net_patient_revenue_model,net_outpatient_exposure_base_model,net_outpatient_exposure_to_npr_ratio,net_outpatient_exposure_to_gross_ratio,exposure_missing_or_zero_flag,low_exposure_ratio_flag,very_low_exposure_ratio_flag,high_exposure_ratio_flag,uncompensated_care_cost_model,stabilization_tier
825184,161377,MERCY MEDICAL CENTER-CENTERVILLE,CENTERVILLE,IA,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,105351777,44080284,41327071.7172251,0.937540958611453,0.39227693062287,FALSE,FALSE,FALSE,TRUE,1795262,Tier 0 - not eligible
825254,290012,ST. ROSE DOMINICAN - DELIMA,HENDERSON,NV,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,225989674,33215550,31438471.4181009,0.946498595329625,0.139114636795754,FALSE,FALSE,FALSE,TRUE,3164937,Tier 2 - moderate transition support
810812,151324,FRANCISCAN HEALTH RENSSELAER,RENSSELAER,IN,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,131728115,40863332,38741979.7729116,0.948086655608789,0.294105626372256,FALSE,FALSE,FALSE,TRUE,1263820,Tier 0 - not eligible
824523,151303,ASCENSION ST. VINCENT JENNINGS,NORTH VERNON,IN,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,95483571,23028530,21923543.6489534,0.952016635406315,0.229605401425062,FALSE,FALSE,FALSE,TRUE,2958579,Tier 3 - high transition support
824414,521317,ASCENSION CALUMET HOSPITAL,CHILTON,WI,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,69012500,31239052,29818836.0882998,0.954537163557327,0.432078769618545,FALSE,FALSE,FALSE,TRUE,1025433,Tier 0 - not eligible
825628,360358,DILEY RIDGE MEDICAL CENTER,CANAL WINCHESTER,OH,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,120241308,27357545,26255201.0520495,0.959706035466614,0.218354253531985,FALSE,FALSE,FALSE,TRUE,2672075,Tier 2 - moderate transition support
824802,231328,ASCENSION ALLEGAN HOSPITAL,ALLEGAN,MI,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,64363574,31430130,30208427.7214865,0.961129582393917,0.46934043348007,FALSE,FALSE,FALSE,TRUE,811278,Tier 0 - not eligible
798871,440131,BAPTIST MEM HOSPITAL TIPTON COUNTY,COVINGTON,TN,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,1038236774,358659116,344854009.650842,0.961509116224003,0.332153530183898,FALSE,FALSE,FALSE,TRUE,6802019,Tier 0 - not eligible
825176,151314,ASCENSION ST VINCENT SALEM,SALEM,IN,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,67052012,20188552,19651013.3822894,0.97337408756653,0.293071196465953,FALSE,FALSE,FALSE,TRUE,2477236,Tier 3 - high transition support
826102,501340,PEACE ISLAND MEDICAL CENTER,FRIDAY HARBOR,WA,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,58366914,29891724,29172576.7239138,0.975941592526204,0.49981358829274,FALSE,FALSE,FALSE,TRUE,1399735,Tier 0 - not eligible
